Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
4312;P;Maignan;Milan;18;6,31;5,75;0;15;2;0;0;0;0;2;0;0
5841;P;Svilar;Roma;20;6,38;5,78;0;12;0;0;0;0;0;0;0;0
6966;P;Butez;Como;19;6,13;5,58;0;13;1;0;0;0;0;1;0;0
4431;P;Carnesecchi;Atalanta;20;6,3;5,5;0;19;1;0;0;0;0;0;0;0
2170;P;Milinkovic-Savic V.;Napoli;15;6,17;5,7;0;13;2;0;0;0;0;0;0;0
5876;P;Di Gregorio;Juventus;18;6,17;5,36;0;14;0;0;0;0;0;1;0;0
2814;P;Provedel;Lazio;20;6,22;5,42;0;16;0;0;0;0;0;0;0;0
761;P;Audero;Cremonese;16;6,38;5,25;0;21;1;0;0;0;0;0;0;0
2134;P;Falcone;Lecce;19;6,37;5,21;0;27;2;0;0;0;0;2;0;0
2428;P;Sommer;Inter;17;5,91;4,97;0;16;0;0;0;0;0;0;0;0
2722;P;Ravaglia F.;Bologna;9;6,39;5;0;12;0;0;0;0;0;1;0;0
133;P;Skorupski;Bologna;9;6,22;5,28;0;8;0;0;0;0;0;1;0;0
4360;P;Caprile;Cagliari;20;6,32;4,8;0;30;0;0;0;0;0;1;0;0
2521;P;De Gea;Fiorentina;20;6,2;4,8;0;31;1;0;0;0;0;0;0;0
5320;P;Paleari;Torino;11;6,14;4,82;0;14;0;0;0;0;0;1;0;0
4236;P;Muric;Sassuolo;19;6,18;4,76;0;25;0;0;0;0;0;4;0;0
188;P;Leali;Genoa;19;6,16;4,74;0;25;0;0;0;0;0;2;1;0
6662;P;Corvi;Parma;8;6;4,94;0;8;0;0;0;0;0;1;0;0
2861;P;Semper;Pisa;17;6,18;4,71;0;25;0;0;0;0;0;0;0;0
6462;P;Okoye;Udinese;12;5,83;4,67;0;16;1;0;0;0;0;0;1;0
4957;P;Montipò;Verona;19;6,16;4,68;0;31;1;0;0;0;0;0;0;0
6641;P;Suzuki;Parma;11;6;4,95;0;14;1;0;0;0;0;1;0;0
572;P;Meret;Napoli;4;6,12;5,12;0;4;0;0;0;0;0;0;0;0
543;P;Padelli;Udinese;2;6,25;5,25;0;2;0;0;0;0;0;0;0;0
5135;P;Guaita;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
218;P;Perin;Juventus;2;6;5;0;2;0;0;0;0;0;0;0;0
574;P;Scuffet;Pisa;3;6;4,33;0;5;0;0;0;0;0;0;0;0
7179;P;Israel;Torino;9;5,89;3,83;0;18;0;0;0;0;0;1;0;0
2211;P;Silvestri;Cremonese;4;6,38;4,62;0;7;0;0;0;0;0;0;0;0
2297;P;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
4;P;Sportiello;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
7172;P;Pessina Mas.;Bologna;1;6;6;0;0;0;0;0;0;0;0;0;0
4929;P;Ciocci;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
3;P;Radunovic;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
2809;P;Vigorito;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6505;P;Nava;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
6403;P;Christensen O.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6184;P;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6991;P;Siegrist;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
219;P;Sommariva;Genoa;2;5,75;3,75;0;4;0;0;0;0;0;0;0;0
1926;P;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
5116;P;Martinez Jo.;Inter;2;6,25;5,75;0;1;0;0;0;0;0;0;0;0
1930;P;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
6417;P;Furlanetto;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
6482;P;Mandas;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
2401;P;Fruchtl;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6523;P;Samooja;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
2815;P;Terracciano;Milan;2;6;6;0;0;0;0;0;0;0;0;0;0
6813;P;Torriani;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2845;P;Contini;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5338;P;Rinaldi;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
2271;P;Nicolas;Pisa;0;0;0;0;0;0;0;0;0;0;0;0;0
7169;P;Zelezny;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
610;P;Gollini;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
4518;P;Russo A.;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2127;P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
4867;P;Turati;Sassuolo;1;5,5;3,5;0;2;0;0;0;0;0;0;0;0
216;P;Donnarumma An.;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
6210;P;Popa;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
6842;P;Sava;Udinese;7;5,57;3,5;0;14;0;0;0;0;0;1;0;0
511;P;Perilli;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
6125;P;Vasquez D.;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
7185;P;Nunziante;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
158;P;Lezzerini;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
7236;P;Toniolo;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
7261;P;Cavlina;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
7285;P;Ferrante;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
7042;P;Calligaris;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
7301;P;Tornqvist;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6650;P;Sherri;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
254;D;Dimarco;Inter;18;6,64;7,67;4;0;0;0;0;0;7;1;0;0
1852;D;Spinazzola;Napoli;14;6,46;7,07;2;0;0;0;0;0;3;1;0;0
2120;D;Bastoni;Inter;17;6,24;6,5;1;0;0;0;0;0;3;3;0;0
5022;D;Pavlovic;Milan;18;6,22;6,5;2;0;0;0;0;0;0;2;0;0
7181;D;Wesley;Roma;18;6,17;6,56;3;0;0;0;0;0;0;4;0;0
6832;D;Palestra;Cagliari;19;6,34;6,47;0;0;0;0;0;0;3;1;0;0
5678;D;Holm;Bologna;8;6,25;7;1;0;0;0;0;0;4;0;1;0
2593;D;Martin;Genoa;16;6,12;6,5;1;0;0;0;0;0;4;2;0;0
6496;D;Bartesaghi;Milan;15;6,13;6,5;2;0;0;0;0;0;0;1;0;0
4657;D;Celik;Roma;16;6,16;6,31;1;0;0;0;0;0;1;1;1;0
5750;D;Ostigard;Genoa;15;6,1;6,77;4;0;0;0;0;0;0;4;0;0
6893;D;Kempf;Como;12;6,21;6,67;2;0;0;0;0;0;0;1;0;0
5877;D;Carlos Augusto;Inter;13;6,23;6,46;1;0;0;0;0;0;1;2;0;0
6642;D;Coco;Torino;17;6,12;6,29;1;0;0;0;0;0;1;2;0;0
4263;D;Kabasele;Udinese;15;6,1;6,4;2;0;0;0;0;0;0;3;0;0
5526;D;Scalvini;Atalanta;7;6,29;7,14;2;0;0;0;0;0;0;0;0;0
2788;D;Bremer;Juventus;10;6,3;6,8;1;0;0;0;0;0;2;0;0;0
4976;D;Kalulu;Juventus;20;6,15;6,38;1;0;0;0;0;0;2;1;0;0
5835;D;Baschirotto;Cremonese;20;5,9;6,18;2;0;0;0;0;0;0;1;0;0
4409;D;Rrahmani;Napoli;12;6,17;6,38;1;0;0;0;0;0;0;1;0;0
2816;D;Di Lorenzo;Napoli;19;6,05;6,24;1;0;0;0;0;0;1;1;0;0
4665;D;Maripan;Torino;19;6,05;6,18;1;0;0;0;0;0;0;1;0;0
6869;D;Ramon;Como;16;6,25;6,41;2;0;0;0;0;0;0;5;1;0
4734;D;Miranda J.;Bologna;15;6,1;6,17;1;0;0;0;0;0;0;4;0;0
4994;D;Vojvoda;Como;15;6,07;6,27;1;0;0;0;0;0;1;2;0;0
6217;D;Bisseck;Inter;9;6,17;6,39;1;0;0;0;0;0;0;2;0;0
5520;D;Cambiaso;Juventus;18;5,86;6,06;1;0;0;0;0;0;2;1;1;0
5812;D;Terracciano F.;Cremonese;19;5,97;6,11;2;0;0;0;0;0;0;3;0;1
6956;D;Solet;Udinese;20;5,98;6,08;1;0;0;0;0;0;1;0;0;1
7220;D;Belghali;Verona;15;6,3;6,53;2;0;0;0;0;0;0;5;0;0
4159;D;Akanji;Inter;17;6,21;6,12;0;0;0;0;0;0;0;3;0;0
2160;D;Gosens;Fiorentina;13;6,04;6,42;2;0;0;0;0;0;0;2;0;0
5514;D;Vasquez;Genoa;20;6,02;6;0;0;0;0;0;0;0;1;0;0
5513;D;Dumfries;Inter;11;6;6,23;1;0;0;0;0;0;0;1;0;0
6766;D;Kelly L.;Juventus;17;5,97;6,06;1;0;0;0;0;0;0;3;0;0
2724;D;Buongiorno;Napoli;14;6,07;6,11;0;0;0;0;0;0;1;1;0;0
5862;D;Valeri;Parma;15;6,03;6,03;0;0;0;0;0;0;1;2;0;0
4807;D;Hermoso;Roma;15;6,17;6,17;1;0;0;0;0;0;0;6;0;0
2296;D;Mancini;Roma;19;6,11;6,03;0;0;0;0;0;0;1;5;0;0
6066;D;Posch;Como;7;6,07;6,5;1;0;0;0;0;0;0;0;0;0
6013;D;Barbieri;Cremonese;14;6,07;6;0;0;0;0;0;0;1;4;0;0
6039;D;Cabal;Juventus;6;6,08;7;2;0;0;0;0;0;0;1;0;0
460;D;Romagnoli;Lazio;18;6,08;6;0;0;0;0;0;0;0;3;0;0
6989;D;Tiago Gabriel;Lecce;18;5,86;5,89;1;0;0;0;0;0;0;1;0;1
5527;D;Zanoli;Udinese;17;6;6,09;0;0;0;0;0;0;2;1;0;0
6663;D;Circati;Parma;14;6,07;6,21;1;0;0;0;0;0;0;2;0;0
6664;D;Delprato;Parma;18;5,92;5,97;1;0;0;0;0;0;0;4;0;0
7143;D;Angori;Pisa;17;6,06;6,09;0;0;0;0;0;0;1;1;0;0
697;D;Cuadrado;Pisa;9;6,11;6,33;1;0;0;1;1;0;0;2;0;0
5578;D;Kossounou;Atalanta;10;6;6,3;1;0;0;0;0;0;0;0;0;0
554;D;Zappacosta;Atalanta;17;5,94;5,88;0;0;0;0;0;0;0;2;0;0
393;D;Luperto;Cagliari;16;5,78;5,88;1;0;0;0;0;0;0;3;0;0
7125;D;Idrissi R.;Cagliari;12;5,88;6,04;1;0;0;0;0;0;0;2;0;0
4433;D;Zortea;Bologna;14;5,82;5,86;0;0;0;0;0;0;1;1;0;0
5435;D;Moreno Alb.;Como;6;6,25;6,67;1;0;0;0;0;0;0;1;0;0
6867;D;Valle;Como;14;5,96;6;0;0;0;0;0;0;1;1;0;0
4177;D;Pavard;Inter;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
5833;D;Gila;Lazio;19;6;5,89;0;0;0;0;0;0;0;2;1;0
2188;D;Marusic;Lazio;18;5,89;5,86;0;0;0;0;0;0;1;1;1;0
4502;D;Gallo;Lecce;19;5,92;5,87;0;0;0;0;0;0;0;2;0;0
4401;D;Gabbia;Milan;17;5,97;5,88;0;0;0;0;0;0;0;3;0;0
6480;D;Tchatchoua;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
6672;D;Idzes;Sassuolo;19;5,92;5,89;0;0;0;0;0;0;0;1;0;0
7212;D;Heggem;Bologna;16;5,97;5,91;0;0;0;0;0;0;0;0;1;0
4137;D;Diego Carlos;Como;13;6,15;5,96;0;0;0;0;0;0;0;5;0;0
6046;D;Hien;Atalanta;18;5,86;5,83;1;0;0;0;0;0;0;3;0;1
4887;D;Bellanova;Atalanta;12;5,92;6;0;0;0;0;0;0;1;0;0;0
6042;D;Lucumì;Bologna;14;5,86;6;1;0;0;0;0;0;0;2;0;0
4210;D;Mina;Cagliari;12;5,83;6;1;0;0;0;0;0;0;2;0;0
4461;D;Zappa;Cagliari;18;5,89;5,94;0;0;0;0;0;0;2;2;0;0
6495;D;Comuzzo;Fiorentina;14;5,75;5,96;1;0;0;0;0;0;0;0;0;0
4378;D;Ranieri L.;Fiorentina;17;5,79;5,82;1;0;0;0;0;0;0;5;0;0
6814;D;Norton-Cuffy;Genoa;19;5,84;5,95;1;0;0;0;0;0;1;2;1;0
4751;D;Tomori;Milan;15;6;5,93;0;0;0;0;0;0;1;4;0;0
6202;D;Beukema;Napoli;9;5,83;6,06;1;0;0;0;0;0;0;2;0;0
6887;D;Leoni;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
4772;D;Angelino;Roma;5;5,8;5,7;0;0;0;0;0;0;0;1;0;0
7155;D;Muharemovic;Sassuolo;17;5,82;5,88;2;0;0;0;0;0;1;4;0;2
5010;D;Ismajli;Torino;13;5,96;6,04;0;0;0;0;0;0;2;2;0;0
4385;D;Lazaro;Torino;19;5,82;5,87;0;0;0;0;0;0;2;2;0;0
6485;D;Kristensen T.;Udinese;10;5,9;6,15;1;0;0;0;0;0;0;1;0;0
7219;D;Bernasconi;Atalanta;9;6,22;6,28;0;0;0;0;0;0;1;1;0;0
7255;D;Britschgi;Parma;14;5,89;5,96;0;0;0;0;0;0;2;2;0;0
787;D;Djimsiti;Atalanta;18;5,75;5,72;0;0;0;0;0;0;0;1;0;0
6916;D;Ahanor;Atalanta;11;5,91;5,91;0;0;0;0;0;0;0;0;0;0
612;D;Bianchetti;Cremonese;17;5,79;5,79;0;0;0;0;0;0;1;2;0;0
7130;D;Folino;Cremonese;4;6;6,75;1;0;0;0;0;0;0;0;0;0
5885;D;Dodò;Fiorentina;20;5,78;5,75;0;0;0;0;0;0;1;3;0;0
7069;D;Fortini;Fiorentina;11;5,91;5,91;0;0;0;0;0;0;0;0;0;0
5449;D;Parisi;Fiorentina;12;6,04;5,96;0;0;0;0;0;0;1;4;0;0
6660;D;Marcandalli;Genoa;13;5,88;5,81;0;0;0;0;0;0;0;2;0;0
513;D;Acerbi;Inter;10;6,05;5,95;0;0;0;0;0;0;0;2;0;0
5831;D;Gatti;Juventus;10;5,9;6,05;1;0;0;0;0;0;0;3;0;0
2728;D;Pellegrini Lu.;Lazio;16;5,88;5,78;0;0;0;0;0;0;0;3;0;0
5620;D;Tavares N.;Lazio;8;5,5;5,44;0;0;0;0;0;0;0;1;0;0
5307;D;Valenti;Parma;14;5,89;5,82;0;0;0;0;0;0;0;2;0;0
2273;D;Caracciolo A.;Pisa;20;5,9;5,78;0;0;0;0;0;0;0;5;0;0
4317;D;N'Dicka;Roma;15;5,97;5,87;0;0;0;0;0;0;0;3;0;0
4374;D;Walukiewicz;Sassuolo;19;5,84;5,79;0;0;0;0;0;0;1;4;0;0
5820;D;Bertola;Udinese;15;5,83;5,83;0;0;0;0;0;0;1;2;0;0
5555;D;Kamara H.;Udinese;14;5,89;5,86;0;0;0;0;0;0;1;3;0;0
6639;D;Frese;Verona;17;5,88;5,79;1;0;0;0;0;0;0;5;0;1
2640;D;Kolasinac;Atalanta;5;6,2;6,1;0;0;0;0;0;0;0;1;0;0
5701;D;Obert;Cagliari;17;5,76;5,62;0;0;0;0;0;0;1;7;0;0
6632;D;Gaspar K.;Lecce;18;5,83;5,61;0;0;0;0;0;0;0;6;1;0
6990;D;Veiga D.;Lecce;18;5,78;5,67;0;0;0;0;0;0;0;4;0;0
6531;D;Jimenez A.;Milan;1;5,5;5;0;0;0;0;0;0;0;1;0;0
7139;D;Canestrelli;Pisa;20;5,72;5,68;0;0;0;0;0;0;0;2;0;0
6986;D;Rensch;Roma;7;6,07;6,07;0;0;0;0;0;0;0;0;0;0
5851;D;Doig;Sassuolo;18;5,83;5,72;0;0;0;0;0;0;0;4;0;0
6426;D;Pedersen;Torino;13;5,85;5,77;0;0;0;0;0;0;0;2;0;0
6894;D;Unai Nunez;Verona;16;5,91;5,66;0;0;0;0;0;0;0;4;0;1
5532;D;Bradaric;Verona;15;5,83;5,77;0;0;0;0;0;0;0;2;0;0
7253;D;Bella-Kotchap;Verona;13;5,88;5,77;0;0;0;0;0;0;0;3;0;0
7068;D;Vitik;Bologna;9;5,89;5,78;0;0;0;0;0;0;0;2;0;0
7014;D;Smolcic I.;Como;12;5,88;5,62;0;0;0;0;0;0;0;6;0;0
7131;D;Floriani Mussolini;Cremonese;13;5,69;5,62;0;0;0;0;0;0;0;2;0;0
770;D;Pezzella Giu.;Cremonese;15;5,67;5,57;0;0;0;0;0;0;1;5;0;0
5603;D;Pongracic;Fiorentina;18;5,72;5,53;0;0;0;0;0;0;0;7;0;0
5739;D;De Winter;Milan;10;5,75;5,75;0;0;0;0;0;0;0;0;0;0
322;D;De Vrij;Inter;2;6,25;6,25;0;0;0;0;0;0;0;0;0;0
2263;D;Lazzari;Lazio;11;5,82;5,73;0;0;0;0;0;0;0;2;0;0
6055;D;Thiaw;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2745;D;Calabresi;Pisa;13;5,85;5,69;0;0;0;0;0;0;0;4;0;0
7020;D;Salah-Eddine;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
6957;D;Valentini N.;Verona;9;5,89;5,78;0;0;0;0;0;0;0;2;0;0
7211;D;Athekame;Milan;4;5,75;6,25;1;0;0;0;0;0;0;2;0;0
7260;D;Ziolkowski;Roma;7;6,07;5,93;0;0;0;0;0;0;0;2;0;0
4982;D;Erlic;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
