date;time;matchday;home_team;away_team;stadium;status;result
24/02/2026;20:45;26;Sassuolo;Verona;MAPEI Stadium - CittÃ  del Tricolore;Da giocare;
25/02/2026;15:00;26;Juventus;Como;Allianz Stadium;Da giocare;
26/02/2026;18:00;26;Lecce;Inter;Stadio Via del Mare;Da giocare;
27/02/2026;20:45;26;Cagliari;Lazio;Unipol Domus;Da giocare;
28/02/2026;12:30;26;Genoa;Torino;Stadio Luigi Ferraris;Da giocare;
01/03/2026;15:00;26;Atalanta;Napoli;New Balance Arena;Da giocare;
02/03/2026;18:00;26;Milan;Parma;Stadio Giuseppe Meazza;Da giocare;
03/03/2026;20:45;26;Roma;Cremonese;Stadio Olimpico;Da giocare;
04/03/2026;18:30;26;Fiorentina;Pisa;Stadio Artemio Franchi;Da giocare;
05/03/2026;20:45;26;Bologna;Udinese;Stadio Renato Dall'Ara;Da giocare;
06/03/2026;15:00;27;Sassuolo;Atalanta;MAPEI Stadium - CittÃ  del Tricolore;Da giocare;
07/03/2026;15:00;27;Udinese;Fiorentina;Bluenergy Stadium - Stadio Friuli;Da giocare;
08/03/2026;15:00;27;Roma;Juventus;Stadio Olimpico;Da giocare;
09/03/2026;15:00;27;Torino;Lazio;Stadio Olimpico di Torino;Da giocare;
10/03/2026;15:00;27;Verona;Napoli;Stadio Marcantonio Bentegodi;Da giocare;
11/03/2026;15:00;27;Inter;Genoa;Stadio Giuseppe Meazza;Da giocare;
12/03/2026;15:00;27;Cremonese;Milan;Stadio Giovanni Zini;Da giocare;
13/03/2026;15:00;27;Parma;Cagliari;Stadio Ennio Tardini;Da giocare;
14/03/2026;15:00;27;Pisa;Bologna;Arena Garibaldi - Stadio Romeo Anconetani;Da giocare;
15/03/2026;15:00;27;Como;Lecce;Stadio Giuseppe Sinigaglia;Da giocare;
16/03/2026;15:00;28;Lazio;Sassuolo;Stadio Olimpico;Da giocare;
17/03/2026;15:00;28;Milan;Inter;Stadio Giuseppe Meazza;Da giocare;
18/03/2026;15:00;28;Cagliari;Como;Unipol Domus;Da giocare;
19/03/2026;15:00;28;Napoli;Torino;Stadio Diego Armando Maradona;Da giocare;
