Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Ass;Amm;Esp;Au
4312;P;Maignan;Milan;22;6,39;5,82;0;17;0;3;0;0
4431;P;Carnesecchi;Atalanta;24;6,44;5,81;0;21;0;0;0;0
5841;P;Svilar;Roma;24;6,31;5,73;0;14;0;0;0;0
6966;P;Butez;Como;23;6,11;5,5;0;16;0;2;0;0
2170;P;Milinkovic-Savic V.;Napoli;17;6,18;5,76;0;13;0;0;0;0
2814;P;Provedel;Lazio;24;6,31;5,46;0;23;0;1;0;0
2134;P;Falcone;Lecce;24;6,46;5,38;0;31;0;2;0;0
5876;P;Di Gregorio;Juventus;21;6,14;5,31;0;17;0;1;0;0
761;P;Audero;Cremonese;20;6,22;5,08;0;26;0;0;0;0
2428;P;Sommer;Inter;22;5,91;5,09;0;18;0;0;0;0
4360;P;Caprile;Cagliari;24;6,35;4,94;0;33;0;2;0;0
6662;P;Corvi;Parma;12;6,12;4,75;0;16;0;1;0;0
6462;P;Okoye;Udinese;16;5,94;4,81;0;20;0;0;1;0
133;P;Skorupski;Bologna;11;6,09;5,14;0;9;0;1;1;0
2521;P;De Gea;Fiorentina;24;6,19;4,73;0;38;0;0;0;0
188;P;Leali;Genoa;20;6,15;4,8;0;25;0;2;1;0
4957;P;Montipò;Verona;21;6,17;4,69;0;34;0;0;0;0
4236;P;Muric;Sassuolo;23;6,07;4,59;0;32;0;4;0;0
2722;P;Ravaglia F.;Bologna;13;6,27;4,46;0;22;0;3;0;0
2861;P;Semper;Pisa;17;6,18;4,71;0;25;0;0;0;0
5320;P;Paleari;Torino;15;6,17;4,53;0;24;0;1;0;0
572;P;Meret;Napoli;7;6,14;4,79;0;10;1;1;0;0
6641;P;Suzuki;Parma;11;6;4,95;0;14;0;1;0;0
7332;P;Bijlow;Genoa;3;5,83;3,17;0;8;0;0;0;0
574;P;Scuffet;Pisa;7;6,21;4,07;0;15;0;0;0;0
543;P;Padelli;Udinese;2;6,25;5,25;0;2;0;0;0;0
5135;P;Guaita;Parma;0;0;0;0;0;0;0;0;0
218;P;Perin;Juventus;3;6;5;0;3;0;0;0;0
5338;P;Rinaldi;Parma;1;7;6,5;0;0;0;1;0;0
511;P;Perilli;Verona;3;6,17;3,83;0;7;0;0;0;0
2297;P;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0
4;P;Sportiello;Atalanta;0;0;0;0;0;0;0;0;0
7172;P;Pessina Mas.;Bologna;1;6;6;0;0;0;0;0;0
4929;P;Ciocci;Cagliari;0;0;0;0;0;0;0;0;0
3;P;Radunovic;Cagliari;0;0;0;0;0;0;0;0;0
2809;P;Vigorito;Como;0;0;0;0;0;0;0;0;0
6505;P;Nava;Cremonese;0;0;0;0;0;0;0;0;0
6403;P;Christensen O.;Fiorentina;0;0;0;0;0;0;0;0;0
6184;P;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0
6991;P;Siegrist;Genoa;0;0;0;0;0;0;0;0;0
219;P;Sommariva;Genoa;2;5,75;3,75;0;4;0;0;0;0
1926;P;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0
5116;P;Martinez Jo.;Inter;2;6,25;5,75;0;1;0;0;0;0
1930;P;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0
6417;P;Furlanetto;Lazio;0;0;0;0;0;0;0;0;0
6482;P;Mandas;Lazio;0;0;0;0;0;0;0;0;0
2401;P;Fruchtl;Lecce;0;0;0;0;0;0;0;0;0
6523;P;Samooja;Lecce;0;0;0;0;0;0;0;0;0
2815;P;Terracciano;Milan;2;6;6;0;0;0;0;0;0
6813;P;Torriani;Milan;0;0;0;0;0;0;0;0;0
2845;P;Contini;Napoli;0;0;0;0;0;0;0;0;0
2271;P;Nicolas;Pisa;0;0;0;0;0;0;0;0;0
7169;P;Zelezny;Roma;0;0;0;0;0;0;0;0;0
610;P;Gollini;Roma;0;0;0;0;0;0;0;0;0
4518;P;Russo A.;Sassuolo;0;0;0;0;0;0;0;0;0
2127;P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0
4867;P;Turati;Sassuolo;1;5,5;3,5;0;2;0;0;0;0
216;P;Donnarumma An.;Torino;0;0;0;0;0;0;0;0;0
7179;P;Israel;Torino;9;5,89;3,83;0;18;0;1;0;0
6210;P;Popa;Torino;0;0;0;0;0;0;0;0;0
6842;P;Sava;Udinese;7;5,57;3,5;0;14;0;1;0;0
6125;P;Vasquez D.;Roma;0;0;0;0;0;0;0;0;0
7185;P;Nunziante;Udinese;0;0;0;0;0;0;0;0;0
158;P;Lezzerini;Fiorentina;0;0;0;0;0;0;0;0;0
2211;P;Silvestri;Cremonese;4;6,38;4,62;0;7;0;0;0;0
7236;P;Toniolo;Verona;0;0;0;0;0;0;0;0;0
7261;P;Cavlina;Como;0;0;0;0;0;0;0;0;0
7285;P;Ferrante;Napoli;0;0;0;0;0;0;0;0;0
7042;P;Calligaris;Inter;0;0;0;0;0;0;0;0;0
7301;P;Tornqvist;Como;0;0;0;0;0;0;0;0;0
6650;P;Sherri;Cagliari;0;0;0;0;0;0;0;0;0
7337;P;Motta;Lazio;0;0;0;0;0;0;0;0;0
7363;P;Siviero;Torino;0;0;0;0;0;0;0;0;0
254;D;Dimarco;Inter;22;6,8;7,98;5;0;12;2;0;0
1852;D;Spinazzola;Napoli;19;6,32;6,76;2;0;3;1;0;0
2788;D;Bremer;Juventus;14;6,39;7,14;3;0;2;1;0;0
6832;D;Palestra;Cagliari;23;6,41;6,67;1;0;4;2;0;0
2120;D;Bastoni;Inter;21;6,29;6,55;1;0;4;3;0;0
6893;D;Kempf;Como;15;6,27;6,83;3;0;0;1;0;0
5526;D;Scalvini;Atalanta;11;6,27;6,77;2;0;0;1;0;0
6217;D;Bisseck;Inter;13;6,27;6,73;2;0;1;2;0;0
4976;D;Kalulu;Juventus;24;6,19;6,54;2;0;3;1;0;0
5022;D;Pavlovic;Milan;19;6,24;6,5;2;0;0;2;0;0
7181;D;Wesley;Roma;22;6,11;6,43;3;0;0;4;0;0
4657;D;Celik;Roma;19;6,24;6,42;1;0;2;1;1;0
5750;D;Ostigard;Genoa;18;6,03;6,53;4;0;0;6;0;0
2593;D;Martin;Genoa;20;6;6,3;1;0;4;2;0;0
5877;D;Carlos Augusto;Inter;16;6,22;6,38;1;0;1;3;0;0
6496;D;Bartesaghi;Milan;18;6,08;6,39;2;0;0;1;0;0
6956;D;Solet;Udinese;24;6,06;6,27;2;0;1;0;0;1
6869;D;Ramon;Como;20;6,28;6,38;2;0;0;6;1;0
4159;D;Akanji;Inter;21;6,26;6,33;1;0;0;3;0;0
5678;D;Holm;Juventus;10;6,1;6,65;1;0;4;1;1;0
4994;D;Vojvoda;Como;19;6,08;6,24;1;0;1;2;0;0
5835;D;Baschirotto;Cremonese;24;5,92;6,12;2;0;0;2;0;0
4409;D;Rrahmani;Napoli;15;6,23;6,37;1;0;0;2;0;0
2816;D;Di Lorenzo;Napoli;23;6,07;6,22;1;0;1;1;0;0
4665;D;Maripan;Torino;22;5,98;6,2;2;0;0;2;0;0
6766;D;Kelly L.;Juventus;21;6,02;6,1;1;0;0;3;0;0
2296;D;Mancini;Roma;23;6,2;6,11;0;0;2;8;0;0
6642;D;Coco;Torino;21;5,93;6,07;1;0;1;2;0;0
4263;D;Kabasele;Udinese;16;6,06;6,34;2;0;0;3;0;0
554;D;Zappacosta;Atalanta;21;6;6,1;1;0;0;2;0;0
4734;D;Miranda J.;Bologna;19;5,97;6;1;0;0;5;0;0
393;D;Luperto;Cremonese;20;5,9;6,02;1;0;1;3;0;0
7125;D;Idrissi R.;Cagliari;15;5,9;6,2;2;0;0;3;0;0
5435;D;Moreno Alb.;Como;8;6,12;6,44;1;0;0;1;0;0
5514;D;Vasquez;Genoa;24;6,04;6;0;0;0;2;0;0
5513;D;Dumfries;Inter;11;6;6,23;1;0;0;1;0;0
6039;D;Cabal;Juventus;8;6;6,69;2;0;0;1;0;0
5812;D;Terracciano F.;Cremonese;23;5,93;6,04;2;0;0;3;0;1
5527;D;Zanoli;Udinese;19;6,05;6,29;1;0;2;1;0;0
6663;D;Circati;Parma;19;6,05;6,11;1;0;0;4;0;0
5862;D;Valeri;Parma;20;6;6;0;0;1;2;0;0
4807;D;Hermoso;Roma;17;6,15;6,15;1;0;0;6;0;0
7219;D;Bernasconi;Atalanta;13;6,15;6,19;0;0;1;1;0;0
7220;D;Belghali;Verona;15;6,3;6,53;2;0;0;5;0;0
6066;D;Posch;Como;8;6,06;6,38;1;0;0;1;0;0
4210;D;Mina;Cagliari;15;6,03;6,13;1;0;0;3;0;0
6867;D;Valle;Como;17;6,09;6,15;0;0;2;2;0;0
6013;D;Barbieri;Cremonese;17;6,09;6;0;0;1;5;0;0
2160;D;Gosens;Fiorentina;16;5,94;6,25;2;0;0;2;0;0
5833;D;Gila;Lazio;23;6;5,91;0;0;0;2;1;0
6989;D;Tiago Gabriel;Lecce;23;5,96;5,93;1;0;0;3;0;1
2724;D;Buongiorno;Napoli;19;5,95;5,95;0;0;1;2;0;0
